ACCOUNT_ID,ACCOUNT_NM,ACCOUNT_TYP_NM,CHURN_RSK_IND,CHURN_PROBABILITY,TERRITORY_SGMNT_NM,HAS_CMD_LINE,HAS_POWER_AUTOMATE,HAS_IMPORT_API,HAS_NATIVE_CONNECTOR,INTEGRATION_STATUS
0015Y00002uNVIg,Attivo Group Limited,Customer,Medium,,UK,TRUE,,,,established integration method
0011400001qzD72,"RPM Pizza, LLC",Former Customer,Churning,,ENT,,,,,flat file or unidentified method
0015Y00002wcKQ4,Noble Street Advisors,Former Customer,Churning,,SMB,TRUE,,,,established integration method
0011O00002GKC8r,"Venture Engineering & Construction, Inc.",Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0015Y00002oElyb,IntelliBridge,Former Customer,Churning,,MM,,TRUE,,TRUE,established integration method
0011O00001yl9T0,"Asure Software, Inc.",Former Customer,Churning,,MM,,,,,flat file or unidentified method
0013000000qHzmw,"Strayer Education, Inc.",Former Customer,Churning,,ENT,,,,,flat file or unidentified method
0015Y00002oDb4V,Pearl Health,Customer,Medium,,SMB,,,,TRUE,established integration method
0015Y00003Din2lQAB,ASE Management Services Limited,Customer,Low,,UK,,,,TRUE,established integration method
0011400001s5CPNAA2,M-Files,Customer,Low,,MM,,,,,flat file or unidentified method
0015Y000039Ksfp,ProfitSolv,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O000021L19q,CancerCare,Former Customer,Churning,,MM,,,,TRUE,established integration method
0015Y00003qW9qZ,Preferred,Former Customer,Churning,,FINS,,,TRUE,,established integration method
0011O00001zwmDz,ASCAP,Former Customer,Low,,MM,,,,,flat file or unidentified method
001a000001UxoFe,Royal Poinciana Golf Club,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00002ZuGgs,DSS Sustainable Solutions Switzerland SA,Customer,Low,,Intl,TRUE,,TRUE,,established integration method
001OO00000Ycv9oYAB,"Compass Restoration Intermediary Holdings,",Customer,Low,,SMB,,,,,flat file or unidentified method
0011O000021afSXQAY,NextNav LLC,Customer,Low,,MM,,,,TRUE,established integration method
0015Y00003gySHD,Moore Belgium BV,Customer,Low,,Intl,,,TRUE,,established integration method
0011O00001yo3qL,Roofstock,Former Customer,High,,FINS,,,,,flat file or unidentified method
0011O00002GJNQz,Ellingson Companies,Former Customer,Churning,,MM,TRUE,,,,established integration method
0011O00001ylgkE,FabFitFun,Customer,High,0.07,MM,,,,TRUE,established integration method
0011400001qzJwy,"Wisconsin Aluminum Foundry Co., Inc.",Customer,Churning,0.85,MM,,,,,flat file or unidentified method
